name,category,rating,address
란주칼면,"중식당",별점 4.44,서울 중구 소공로 64 1층 란주칼면
리정원 성신여대점,"고기요리",별점 4.49,서울 성북구 동소문로20나길 11 1층
어니언 안국,"카페",별점 4.44,서울 종로구 계동길 5 카페 어니언
해목 논현점,"일식당","방문자 리뷰 1316",서울 강남구 선릉로145길 14
바다회사랑,"생선회",별점 4.37,서울 마포구 동교로27길 60
무탄 압구정 본점,"중식당","방문자 리뷰 6628",서울 강남구 논현로176길 22 1층
구복만두,"만두",별점 4.41,서울 용산구 두텁바위로 7
꾸띠자르당,"패밀리레스토랑",별점 4.4,서울 용산구 보광로 120
경이네건생선,"생선요리",별점 4.37,서울 중구 퇴계로85길 7
을지다락 강남,"양식",별점 4.53,서울 강남구 강남대로96길 22 2층
고트델리 서촌,"샌드위치",별점 4.57,서울 종로구 필운대로5가길 13 1층
칸다소바 경복궁점,"일본식라면",별점 4.51,서울 종로구 자하문로7길 5 1층
테르트르,"카페",별점 4.25,서울 종로구 낙산5길 46
헤키,"돈가스",별점 4.56,서울 마포구 동교로9길 33 1층 헤키
진작,"일식당",별점 4.47,서울 중구 수표로12길 12 1층 진작
배키욘방,"일식당",별점 4.64,서울 송파구 올림픽로32길 22-23 1층
소점,"일식당",별점 4.81,서울 마포구 성미산로17길 99
서촌스코프,"카페",별점 4.51,서울 종로구 필운대로5가길 31 1층 SCOFF
멕시칼리,"멕시코",별점 4.68,서울 광진구 능동로36길 181 1층
텅,"카페","방문자 리뷰 1006",서울 종로구 율곡로 82 701호
잘빠진메밀 서촌 본점,"막국수",별점 4.41,서울 종로구 자하문로11길 4
미미면가 가로수길점,"일식당",별점 4.28,서울 강남구 강남대로160길 29
산수갑산,"순댓국",별점 4.28,서울 중구 을지로20길 24
초이다이닝, "일식당", "방문자 리뷰 5758",서울 마포구 동교로36길 3 지하1층
단디 잠실본점,"덮밥","방문자 리뷰 7435",서울 송파구 백제고분로45길 7
타마,"덮밥","방문자 리뷰 1793",서울 영등포구 은행로 30 1층
우육미,"고기요리",별점 4.3,서울 중구 퇴계로 373
다몽집 신논현본점,"고기요리",별점 4.68,서울 강남구 강남대로100길 13 지하1층/2층 다몽집
가양칼국수버섯매운탕,"한식",별점 4.44,서울 영등포구 국제금융로 78 홍우빌딩 지하 1층
촌놈,"돼지고기구이",별점 4.47,서울 종로구 대학로8가길 48
고시고시 연남,"퓨전음식","방문자 리뷰 1347",서울 마포구 동교로38길 33-21 1층 고시고시
라무라 합정,"일본식라면",별점 4.65,서울 마포구 포은로 21 1층 라무라 합정
평화연남,"곱창",별점 4.36,서울 마포구 동교로 254-1
꿉당,"고기요리",별점 4.51,서울 서초구 강남대로 615 1층
라프레플루트,"카페,디저트",별점 4.73,서울 성동구 서울숲2길 8-8 2층
커피앤시가렛,"카페",별점 4.43,서울 중구 서소문로 116 유원빌딩17층 1706호
위트앤미트 강남점,"양식","방문자 리뷰 2224",서울 강남구 강남대로110길 32 1층
안암,"한식",별점 4.93,서울 종로구 북촌로5길 10 안암
더 스팟 패뷸러스,"카페",별점 4.56,서울 중구 명동2길 22 1.2층
대한옥,"곰탕",별점 4.37,서울 영등포구 영등포로51길 6 1층 대한옥
카츠바이콘반,"일식당",별점 4.58,서울 강남구 선릉로153길 36 1층
소금집델리 망원,"양식",별점 4.45,서울 마포구 월드컵로19길 14 2층
화육계,"닭발",별점 4.35,서울 중구 을지로14길 21 1층
갓잇 송리단길점,"멕시코","방문자 리뷰 6104",서울 송파구 오금로16길 20 1
을밀대 평양냉면,"냉면",별점 4.37,서울 마포구 숭문길 24
뉴만두집,"만두",별점 4.37,서울 강남구 압구정로 338
대성집,"곰탕",별점 4.38,서울 종로구 사직로 5
임병주산동칼국수,"칼국수",별점 4.35,서울 서초구 강남대로37길 65
현우동,"우동",별점 4.35,서울 강남구 논현로149길 53 래성빌딩 1층
파롤앤랑그,"카페",별점 4.45,서울 마포구 성미산로29안길 8 파롤앤랑그
부자피자 1호점,"피자",별점 4.42,서울 용산구 이태원로55가길 28
르프리크 성수,"햄버거",별점 4.55,서울 성동구 연무장5길 9-16 블루스톤타워 B103
한남동한방통닭,"치킨",별점 4.54,서울 용산구 대사관로34길 38
야키토리 묵,"일식튀김",별점 4.7,서울 마포구 성미산로 165-1 1층 우측
리정원 신촌점,"고기요리","방문자 리뷰 2129",서울 서대문구 명물길 59 1층 리정원
어반플랜트 합정,"브런치카페","방문자 리뷰 2707",서울 마포구 독막로4길 3
오죽이네,"닭요리",별점 4.49,서울 종로구 돈화문로11가길 25
코끼리베이글 영등포,"베이글",별점 4.42,서울 영등포구 선유로 176 코끼리베이글
SADDLER HAUS,"와플",별점 4.55,서울 강남구 도산대로17길 10 B1 새들러하우스
은주정,"찌개",별점 4.23,서울 중구 창경궁로8길 32
장인닭갈비 강남점,"닭갈비","방문자 리뷰 13574",서울 강남구 테헤란로1길 19
파이인더샵,"카페","방문자 리뷰 1776",서울 마포구 성미산로27길 26
달마시안 압구정점,"양식","방문자 리뷰 2437",서울 강남구 압구정로42길 42
안주마을,"포장마차",별점 4.55,서울 종로구 자하문로1길 3
미미옥 신용산점,"한식",별점 4.45,서울 용산구 한강대로15길 27
카페 레이어드 안국점,카페,별점 4.39,서울 종로구 북촌로2길 2-3
어니언 성수카페,카페,별점 4.41,서울 성동구 아차산로9길 8 어니언
도량,중식당,별점 4.81,서울 종로구 자하문로6길 6
토속촌 삼계탕,삼계탕,별점 4.33,서울 종로구 자하문로5길 5 토속촌
핫쵸 성수점,일식당,방문자 리뷰 637,서울 성동구 왕십리로5길 9-20 1층
서촌계단집,해물,별점 4.29,서울 종로구 자하문로1길 15
이태리국시 한남,양식,방문자 리뷰 2604,서울 용산구 이태원로 234 2층
미뉴트 빠삐용 청담점,카페,방문자 리뷰 1304,서울 강남구 도산대로51길 37 지하1층
진진,중식당,방문자 리뷰 1469,서울 마포구 월드컵북로1길 60 1층 진진
LOWIDE 서울숲,카페,별점 4.37,서울 성동구 서울숲2길 22-1
카린지린가네스낵바 성수본점,요리주점,별점 4.45,서울 성동구 왕십리로4길 10-3 1층
도토리가든 안국점,카페,방문자 리뷰 1971,서울 종로구 계동길 19-8 1층
서교주담 합정,요리주점,별점 4.75,서울 마포구 어울마당로5길 46 1층 서교주담 합정
사루카메,일본식라면,별점 4.51,서울 마포구 연남로 15 1층
고도식,고기요리,별점 4.44,서울 송파구 백제고분로45길 28
서보,태국음식,방문자 리뷰 1068,서울 송파구 오금로18길 5
오파토,브런치,방문자 리뷰 1269,서울 용산구 신흥로12길 4 1층
앤티크커피 연남점,카페,방문자 리뷰 3149,서울 마포구 연희로 25-1 1층 앤티크커피
피자덕후 피자힙 압구정점,피자,별점 4.91,서울 강남구 선릉로157길 23 2층 피자덕후 피자힙
호족반 청담,한식,별점 4.35,서울 강남구 언주로164길 39 1층
진작 카키,한식,방문자 리뷰 2702,서울 종로구 창덕궁1길 38 진작카키 안국점
진미식당,게요리,별점 4.36,서울 마포구 마포대로 186-6
후추포인트,양식,방문자 리뷰 1821,서울 강남구 봉은사로6길 30 1층
브레디포스트 성수점,카페,방문자 리뷰 5054,서울 성동구 상원1길 5 1-2층
코코로카라,베이커리,별점 4.53,서울 마포구 연남로1길 41
간판없는가게,이탈리아음식,별점 4.47,서울 종로구 돈화문로11다길 36 1층 간판없는가게
쮸즈,딤섬,별점 4.38,서울 강남구 도산대로17길 13
뮤직컴플렉스서울 안녕인사동점,카페,방문자 리뷰 684,서울 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울
82올리언즈,양식,방문자 리뷰 2002,서울 중구 퇴계로27길 64 1층
연어롭다,일식당,방문자 리뷰 1722,서울 마포구 동교로38길 42
진옥화할매원조닭한마리,닭요리,별점 4.31,서울 종로구 종로40가길 18
올드페리도넛 한남점,도넛,별점 4.45,서울 용산구 한남대로27길 66 2층
아티스트베이커리 안국,베이커리,방문자 리뷰 2254,서울 종로구 율곡로 45 1층
신토불이 떡볶이 본점,떡볶이,별점 4.35,서울 광진구 자양로43길 42
이문설렁탕,곰탕,별점 4.26,서울 종로구 우정국로 38-13
카페 페퍼,카페,별점 4.45,서울 송파구 백제고분로45길 12 2층 카페페퍼
소바식당,소바,별점 4.38,서울 성동구 연무장7가길 6 1층
망원동즉석우동 본점,우동,별점 4.47,서울 마포구 동교로 83
을지로보석,오뎅,별점 4.24,서울 중구 마른내로 11-10 3층
마일스톤 커피,카페,별점 4.63,서울 강남구 논현로159길 49
1인1잔,카페,별점 4.33,서울 은평구 연서로 534
육미안 연남점,소고기구이,방문자 리뷰 1046,서울 마포구 동교로38길 5 2층
아루히,일식당,별점 4.81,서울 영등포구 여의나루로 42 2층
베통 성수 플래그십,카페,별점 4.5,서울 성동구 연무장7가길 8 베통 성수
툭툭누들타이,태국음식,별점 4.28,서울 마포구 성미산로 161-8 2층
백제정육점,고기요리,별점 4.4,서울 종로구 종로35길 34
진중 우육면관,아시아음식,별점 4.52,서울 종로구 청계천로 75-2
유즈라멘,일본식라면,별점 4.52,서울 중구 만리재로 217
정돈 대학로본점,돈가스,별점 4.48,서울 종로구 대학로9길 12 지층
최강금돈까스,돈가스,별점 4.58,서울 마포구 월드컵로3길 31-30
한사발포차 혜화점,요리주점,방문자 리뷰 842,서울 종로구 대명길 19-8 1층
비아 톨레도 파스타바,스파게티,방문자 리뷰 27,서울 용산구 원효로83길 7-2 1층
천하보쌈,보쌈,방문자 리뷰 1701,서울 종로구 창덕궁1길 8 천하보쌈
정인면옥 본점,냉면,별점 4.23,서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층
온량,양식,별점 4.53,서울 성동구 서울숲4길 26-10 1층
쯔루하시 후게츠 명동점,일식당,별점 4.5,서울 중구 명동8길 21-5 해암빌딩 2층
초원,고기요리,별점 4.47,서울 용산구 한강대로80길 7
청와옥 본점,순댓국,별점 4.45,서울 송파구 위례성대로 48 반도빌딩 1층
저스트텐동 연남본점,일식당,별점 4.5,서울 마포구 동교로46길 3
멘야하나비 송파본점,일본식라면,별점4.51,서울 송파구 백제고분로45길 38 1층 멘야하나비 잠실 본점
진지아,중식당,별점 4.58,서울 송파구 백제고분로41길 12-9
정육면체 신촌점,아시아음식,방문자 리뷰 3816,서울 서대문구 연세로5다길 22-8 1층 
어머니대성집,한식,별점 4.36,서울 동대문구 왕산로11길 4
리정원 연희점,고기요리,방문자 리뷰 1529,서울 서대문구 연희맛로 4
구구당,퓨전음식,별점 4.51,서울 강남구 강남대로102길 35 구구당
보니스피자펍,피자,별점 4.47,서울 용산구 신흥로3길 2
육미안 혜화점,소고기구이,별점 4.42,서울 종로구 창경궁로 246-4 1층 육미안
비틀스타코 서순라점,양식,방문자 리뷰 693,서울 종로구 서순라길 89-7 1층
팻어케이크,카페,방문자 리뷰 1286,서울 송파구 백제고분로45길 9 2층
하동관 명동본점,곰탕,별점 4.06,서울 중구 명동9길 12
마리오네,이탈리아음식,별점 4.53,서울 성동구 광나루로2길 23-1 1층
성수명당,요리주점,별점 4.43,서울 성동구 연무장19길 10 1층
도토리브라더스,일식당,별점 4.28,서울 종로구 경희궁길 41 1층 도토리브라더스
벤베누토,이탈리아음식,별점 4.8,서울 성북구 동소문로20나길 39 DH네상스호텔 2층
야상해,딤섬,별점 4.58,서울 용산구 이태원로23길 6
브레디포스트 용산점,카페,방문자 리뷰 2630,서울 용산구 한강대로44길 6 2층
bd버거 성수동 연무장길카페거리,햄버거,별점 4.53,서울 성동구 성수이로14길 7 2층 bd버거 성수
데이릿,한식,방문자 리뷰 409,서울 성동구 상원1길 39 B1
5to7,카페,별점 4.3,서울 성동구 서울숲2길 44-13 1층
도동집,한식,별점 4.27,서울 용산구 후암로48길 1
영일분식,종합분식,별점 4.35,서울 영등포구 도림로141가길 34-1
프로토콜 연희점,카페,별점 4.77,서울 서대문구 연희로 109 2층
고가빈커리하우스,패밀리레스토랑,별점 4.33,서울 종로구 경희궁2길 7 3층
