name,location,category,tags
평화잔디광장,마포구,1.0,#관광지#상암평화의공원#상암평화잔디광장#잔디광장#평화의공원평화잔디광장
천호자전거거리,강동구,1.0,#관광지#자전거거리#천호동자전거#천호동자전거거리#천호자전거거리
안양천제방벚꽃길,영등포구,1.0,#관광지#벚꽃명소#서울벚꽃명소#안양천#안양천벚꽃길#안양천제방벚꽃길
안양암(서울),종로구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
안녕인사동,종로구,1.0,#가족과함께#관광지#문화공간#연인과함께#열린문화공간#이색체험
구공업전습소본관,종로구,1.0,#관광지#교과서속여행#구공업전습소본관#문화재#사적지#수도권#역사
아차산 고구려정,광진구,1.0,#관광지#등산#서울_여행지_추천#서울가볼만한곳#서울권#아차산#해맞이
"신트리공원(농촌체험,자연학습장)",양천구,1.0,#가족과함께#관광지#산책로#산책하기좋은곳#서울산책#아이와함께
봉화산근린공원,중랑구,1.0,#공원#관광지#근린공원#산책길#산책코스#산책하기좋은곳#자연환경
신기한놀이터 떼굴떼굴,서대문구,1.0,#관광지#모래놀이터#서대문구신기한놀이터#서대문놀이터#신기한놀이터
서리풀공원,서초구,1.0,#관광지#방배근린공원#서리풀공원#서리풀나들길#서초구근린공원
삼룡사,중랑구,1.0,#관광지#도심속사찰#삼룡사#용마산사찰#중랑구사찰#천태종
반포한강공원 달빛광장,서초구,1.0,#관광지#교량분수#달빛광장#달빛무지개분소#로맨틱장소#반포한강공원
노을공원,마포구,1.0,#관광지#노을공원#노을별누리#노을전망#노을책방#노을캠핑장#누에생태체험장
"계남공원(유아숲체험장, 우렁바위)",양천구,1.0,#걷기길#관광지#산책코스#산책하기좋은곳#아이와함께#자연좋은곳
거리공원,구로구,1.0,#거리공원#관광지#구로거리공원#근린공원#신도림거리공원
개운사(서울),성북구,1.0,#개운사#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로
G밸리 4차산업체험관,구로구,1.0,#관광지
일원에코파크,강남구,1.0,#관광지#어린이물놀이축제#일원동게이트볼장#일원동배드민턴장#일원동스케이트장
간데메공원,동대문구,1.0,#간데메공원#관광지#답십리공원#동대문구근린공원#팔각정공원
장안근린공원,동대문구,1.0,#관광지#동대문구근린공원#장안근린공원#장안동근린공원#장안동독서실
서촌마을,종로구,1.0,#23_24한국관광100선#걷기길#관광지#데이트장소추천#반려동물#반려동물동반여행지
